REGIONAL;CODIGO UNIDAD;TIPO;APERTURA;Riesgo psicosocial_AÑO 2025_ESTRÉS_Riesgo muy alto;Riesgo psicosocial_AÑO 2025_ESTRÉS_Riesgo alto;Riesgo psicosocial_AÑO 2025_ESTRÉS_Riesgo medio;Riesgo psicosocial_AÑO 2025_ESTRÉS_Riesgo bajo;Riesgo psicosocial_AÑO 2025_ESTRÉS_Sin riesgo;Riesgo psicosocial_AÑO 2025_INTRALABORALES_Riesgo muy alto;Riesgo psicosocial_AÑO 2025_INTRALABORALES_Riesgo alto;Riesgo psicosocial_AÑO 2025_INTRALABORALES_Riesgo medio;Riesgo psicosocial_AÑO 2025_INTRALABORALES_Riesgo bajo;Riesgo psicosocial_AÑO 2025_INTRALABORALES_Sin riesgo;Riesgo psicosocial_AÑO 2025_EXTRABORALES_Riesgo muy alto;Riesgo psicosocial_AÑO 2025_EXTRABORALES_Riesgo alto;Riesgo psicosocial_AÑO 2025_EXTRABORALES_Riesgo medio;Riesgo psicosocial_AÑO 2025_EXTRABORALES_Riesgo bajo;Riesgo psicosocial_AÑO 2025_EXTRABORALES_Sin riesgo;Riesgo psicosocial_AÑO 2023_ESTRÉS_Riesgo muy alto;Riesgo psicosocial_AÑO 2023_ESTRÉS_Riesgo alto;Riesgo psicosocial_AÑO 2023_ESTRÉS_Riesgo medio;Riesgo psicosocial_AÑO 2023_ESTRÉS_Riesgo bajo;Riesgo psicosocial_AÑO 2023_ESTRÉS_Sin riesgo;Riesgo psicosocial_AÑO 2023_INTRALABORALES_Riesgo muy alto;Riesgo psicosocial_AÑO 2023_INTRALABORALES_Riesgo alto;Riesgo psicosocial_AÑO 2023_INTRALABORALES_Riesgo medio;Riesgo psicosocial_AÑO 2023_INTRALABORALES_Riesgo bajo;Riesgo psicosocial_AÑO 2023_INTRALABORALES_Sin riesgo;Riesgo psicosocial_AÑO 2023_EXTRABORALES_Riesgo muy alto;Riesgo psicosocial_AÑO 2023_EXTRABORALES_Riesgo alto;Riesgo psicosocial_AÑO 2023_EXTRABORALES_Riesgo medio;Riesgo psicosocial_AÑO 2023_EXTRABORALES_Riesgo bajo;Riesgo psicosocial_AÑO 2023_EXTRABORALES_Sin riesgo;Evaluación del desempeño_AÑO 2025_OBJETIVO;Evaluación del desempeño_AÑO 2025_COMPETENCIA;Evaluación del desempeño_AÑO 2025_RESULTADO;Evaluación del desempeño_AÑO 2025_INTERPRETACION;Evaluación del desempeño_AÑO 2024_OBJETIVO;Evaluación del desempeño_AÑO 2024_COMPETENCIA;Evaluación del desempeño_AÑO 2024_RESULTADO;Evaluación del desempeño_AÑO 2024_INTERPRETACION;Evaluación del desempeño_AÑO 2023_OBJETIVO;Evaluación del desempeño_AÑO 2023_COMPETENCIA;Evaluación del desempeño_AÑO 2023_RESULTADO;Evaluación del desempeño_AÑO 2023_INTERPRETACION;Evaluación del desempeño_AÑO 2022_OBJETIVO;Evaluación del desempeño_AÑO 2022_COMPETENCIA;Evaluación del desempeño_AÑO 2022_RESULTADO;Evaluación del desempeño_AÑO 2022_INTERPRETACION;Evaluación del desempeño_AÑO 2021_OBJETIVO;Evaluación del desempeño_AÑO 2021_COMPETENCIA;Evaluación del desempeño_AÑO 2021_RESULTADO;Evaluación del desempeño_AÑO 2021_INTERPRETACION;Evaluación del desempeño_AÑO 2020_OBJETIVO;Evaluación del desempeño_AÑO 2020_COMPETENCIA;Evaluación del desempeño_AÑO 2020_RESULTADO;Evaluación del desempeño_AÑO 2020_INTERPRETACION;Engagement_AÑO 2025_AMBIENTE LABORAL;Engagement_AÑO 2025_COMPROMISO;Engagement_AÑO 2025_INTERPRETACION
CAUCA;A4112       ;Regional;42036;0,315589354;0,247148289;0,216730038;0,106463878;0,114068441;0,133079848;0,201520913;0,258555133;0,220532319;0,186311787;0,197718631;0,212927757;0,25095057;0,140684411;0,197718631;0,162629758;0,186851211;0,242214533;0,155709343;0,252595156;0,093425606;0,173010381;0,211072664;0,249134948;0,273356401;0,162629758;0,186851211;0,242214533;0,155709343;0,252595156;0,897255455;0,885714286;0,893793104;Alto;0,6435;0,838055556;0,70782;Medio;0,699578571;0,844571429;0,743076429;Medio;0,837;0,8668;0,84594;Alto;0,90875;0,882986111;0,895868056;Alto;0,8515;0,859861111;0,855680556;Alto;0,963690476;1;Muy alto
CAUCA;A411243     ;PDA;39539;0,222222222;0,222222222;0,333333333;0,222222222;0;0,222222222;0,222222222;0,333333333;0,111111111;0,111111111;0,111111111;0,222222222;0,555555556;0,111111111;0;0,363636364;0,181818182;0;0,272727273;0,181818182;0,090909091;0,090909091;0,181818182;0,454545455;0,181818182;0,181818182;0,090909091;0,363636364;0,363636364;0;0,807467273;0,847272727;0,819408909;Alto;0,623636364;0,839141414;0,694909091;Medio;0,724494;0,8648;0,7658858;Alto;0,671465909;0,809636364;0,712917045;Medio;0,854166667;0,865509259;0,859837963;Alto;0,841818182;0,864646465;0,853232323;Alto;0,840530303;0,867424242;Medio
CAUCA;A411242     ;PDA;40026;0,444444444;0,333333333;0,222222222;0;0;0,222222222;0,222222222;0,111111111;0,444444444;0;0,111111111;0,333333333;0,333333333;0;0,222222222;0,416666667;0,166666667;0,166666667;0,25;0;0,083333333;0,333333333;0,333333333;0,166666667;0,083333333;0,25;0,25;0,083333333;0,166666667;0,25;0,835372727;0,865454545;0,844397273;Alto;0,676416667;0,833333333;0,723841667;Medio;0,707671818;0,855636364;0,751815636;Alto;0,856689583;0,788166667;0,836132708;Alto;0,8325;0,833912037;0,833206019;Alto;0,943333333;0,934606481;0,938969907;Muy alto;0,843402778;0,892361111;Medio
CAUCA;A411221     ;PDA;43661;0,333333333;0,166666667;0,5;0;0;0;0;0,666666667;0,166666667;0,166666667;0;0,666666667;0,333333333;0;0;0,666666667;0;0,111111111;0,111111111;0,111111111;0,222222222;0,222222222;0,555555556;0;0;0,444444444;0,333333333;0,222222222;0;0;0,8219625;0,867857143;0,835730893;Alto;0,747142857;0,856746032;0,782071429;Alto;0,6626;0,9076;0,7361;Medio;0,80725;0,7764;0,797995;Alto;0,8025;0,887152778;0,844826389;Alto;0,921111111;0,955092593;0,938101852;Muy alto;0,8921875;0,885416667;Alto
CAUCA;A411241     ;PDA;39539;0,125;0,5;0;0;0,375;0;0;0,25;0,25;0,5;0,125;0,25;0,125;0;0,5;0,142857143;0,285714286;0,285714286;0,285714286;0;0;0;0,142857143;0,571428571;0,285714286;0,142857143;0,142857143;0;0,285714286;0,428571429;0,87932875;0,879107143;0,879262268;Alto;0,7475;0,899479167;0,7950875;Alto;0,78424375;0,862;0,811208125;Alto;0,877857143;0,835428571;0,865128571;Alto;0,86375;0,867708333;0,865729167;Alto;0,91375;0,903472222;0,908611111;Muy alto;0,969270833;0,963541667;Muy alto
CAUCA;A411231     ;PDA;39873;0,090909091;0,181818182;0,363636364;0,272727273;0,090909091;0,090909091;0,181818182;0;0,454545455;0,272727273;0,090909091;0,181818182;0,272727273;0,363636364;0,090909091;0,416666667;0,166666667;0,083333333;0,083333333;0,25;0,083333333;0,166666667;0,333333333;0,166666667;0,25;0,166666667;0,083333333;0,583333333;0,083333333;0,083333333;0,888976923;0,887032967;0,888393736;Alto;0,770357143;0,935515873;0,824914286;Alto;0,579346364;0,820363636;0,652524273;Medio;0,831988636;0,857272727;0,839573864;Alto;0,862666667;0,853240741;0,857953704;Alto;0,8475;0,869791667;0,858645833;Alto;0,947916667;0,93452381;Alto
CAUCA;A41121      ;Agencia;31172;0,5;0,125;0,3125;0,0625;0;0,0625;0,4375;0,25;0,25;0;0,3125;0,3125;0,1875;0;0,1875;0,2;0,2;0,333333333;0,266666667;0;0;0,2;0,266666667;0,2;0,333333333;0,2;0,133333333;0,266666667;0,333333333;0,066666667;0,7786184;0,869428571;0,805861451;Alto;0,657428571;0,861309524;0,72112381;Medio;0,599554737;0,840315789;0,673067895;Medio;0,667118182;0,834363636;0,717291818;Medio;0,87;0,866964286;0,868482143;Alto;0,866153846;0,872222222;0,869188034;Alto;0,742424242;0,776515152;Medio
CAUCA;A41122      ;Agencia;41183;0,235294118;0,235294118;0,352941176;0,058823529;0,117647059;0,117647059;0,352941176;0,117647059;0,352941176;0,058823529;0,235294118;0,117647059;0,117647059;0,176470588;0,352941176;0,411764706;0,352941176;0,058823529;0;0,176470588;0,058823529;0,352941176;0,294117647;0,235294118;0,058823529;0,117647059;0,117647059;0,352941176;0,176470588;0,235294118;0,827140952;0,92292517;0,855876218;Alto;0,545014;0,894375;0,6551648;Medio;0,712471;0,9213;0,7798147;Alto;0,765011842;0,910105263;0,808539868;Alto;0,83;0,863819444;0,846909722;Alto;0,873333333;0,882936508;0,878134921;Alto;0,867763158;0,879385965;Alto
CAUCA;A41123      ;Agencia;38168;0,4;0,2;0,24;0,08;0,08;0,04;0,4;0,2;0,2;0,16;0,28;0,2;0,28;0,04;0,2;0,142857143;0,285714286;0,114285714;0,285714286;0,171428571;0,085714286;0,2;0,314285714;0,085714286;0,314285714;0,085714286;0,2;0,2;0,257142857;0,257142857;0,829146452;0,873271889;0,842384083;Alto;0,769967742;0,824551971;0,788280645;Alto;0,673168065;0,822774194;0,720169258;Medio;0,687105263;0,825210526;0,728536842;Medio;0,865277778;0,844351852;0,854814815;Alto;0,883888889;0,869598765;0,876743827;Alto;0,895295699;0,926075269;Alto
CAUCA;A41124      ;Agencia;39539;0,461538462;0,307692308;0,153846154;0;0,076923077;0,153846154;0;0,230769231;0,307692308;0,307692308;0,307692308;0;0,384615385;0,230769231;0,076923077;0,1875;0,375;0,125;0,125;0,1875;0;0;0,125;0,25;0,625;0,0625;0,25;0,0625;0,25;0,375;0,799156923;0,924505495;0,836761495;Alto;0,677928571;0,857142857;0,734714286;Medio;0,565178333;0,868666667;0,689655091;Medio;0,78274;0,876;0,810718;Alto;0,894285714;0,886210317;0,890248016;Alto;0,858;0,875925926;0,866962963;Alto;0,857552083;0,875;Alto
